TICKET_ID,CREATED DATE,TICKET TYPE,PRIORITY,STATUS,ASSIGNED TO,FIRST RESPONSE DATE,RESOLVED DATE,RESOLUTION TIME,SLA BREACHED
OPS-089,13/01/2025,FINANCE,high,In-Progress,Agent E,14/01/2025,,,
OPS-090,10/01/2025,MARKETING,low,In-Progress,Agent E,12/01/2025,,,
OPS-091,01/01/2025,IT,low,Resolved,Agent E,01/01/2025,05/01/2025,96,Yes
OPS-092,08/01/2025,MARKETING,low,Resolved,Agent E,08/01/2025,12/01/2025,96,Yes
OPS-093,15/01/2025,ADMIN,medium,Open,Agent E,16/01/2025,,,
OPS-094,14/01/2025,ADMIN,medium,Open,Agent E,16/01/2025,,,
OPS-095,08/01/2025,IT,low,Pending,Agent E,08/01/2025,,,
OPS-096,05/01/2025,HR,high,Resolved,Agent E,06/01/2025,11/01/2025,144,Yes
OPS-097,13/01/2025,MARKETING,high,Resolved,Agent E,15/01/2025,17/01/2025,96,Yes
OPS-098,03/01/2025,ADMIN,high,In-Progress,Agent E,03/01/2025,,,
OPS-099,09/01/2025,IT,medium,Open,Agent E,11/01/2025,,,
OPS-100,04/01/2025,FINANCE,high,Resolved,Agent E,05/01/2025,07/01/2025,72,Yes
OPS-101,08/01/2025,FINANCE,high,Resolved,Agent E,08/01/2025,10/01/2025,48,No
